date,meantemp,humidity,wind_speed,meanpressure
"Sun, 30 Dec 2012",6,71.33333333,0,1015.666667
"Sun, 6 Jan 2013",7,51.25,1.48,1015.571429
"Sun, 13 Jan 2013",12.5,71.85714286,0,1013.333333
"Sun, 20 Jan 2013",9.5,60.16666667,2.22,1019.666667
"Sun, 27 Jan 2013",12.85714286,56,1.057142857,1016
"Sun, 3 Feb 2013",14,59.4,1.857142857,1014.571429
"Sun, 10 Feb 2013",14.42857143,63.83333333,3.475,1008
"Sun, 17 Feb 2013",13.66666667,65.625,0,1012.666667
"Sun, 24 Feb 2013",16.85714286,49.33333333,4.6375,1015.142857
"Sun, 3 Mar 2013",17.6,44.83333333,4.1625,1009.285714
"Sun, 10 Mar 2013",20.33333333,45.83333333,0.933333333,1008
"Sun, 17 Mar 2013",22.5,36.33333333,6.8,1006.375
"Sun, 24 Mar 2013",21,44.57142857,1.85,1008.625
"Sun, 31 Mar 2013",23.2,29.85714286,4.4,1006.142857
"Sun, 7 Apr 2013",28.71428571,23.28571429,5.3,1005
"Sun, 14 Apr 2013",28.25,24.2,3.971428571,1000
"Sun, 21 Apr 2013",27.375,31.42857143,2.114285714,1006.833333
"Sun, 28 Apr 2013",28.57142857,15.85714286,2.914285714,999
"Sun, 5 May 2013",30.75,23,3.0125,999.875
"Sun, 12 May 2013",29.85714286,28.16666667,3.2375,998.5
"Sun, 19 May 2013",35.33333333,19,7.4,996.4285714
"Sun, 26 May 2013",32,21.2,5.557142857,998.2
"Sun, 2 Jun 2013",31.28571429,36.5,5.028571429,997
"Sun, 9 Jun 2013",29.83333333,40,7.414285714,995.125
"Sun, 16 Jun 2013",26.875,39.4,4.228571429,994.75
"Sun, 23 Jun 2013",30.57142857,53,6.483333333,995.25
"Sun, 30 Jun 2013",31,52.16666667,6.357142857,996
"Sun, 7 Jul 2013",28.875,65.5,5.5625,995.75
"Sun, 14 Jul 2013",26.83333333,71.625,4.8125,995
"Sun, 21 Jul 2013",28.2,70.71428571,2.24,995.1666667
"Sun, 28 Jul 2013",28.83333333,62.33333333,4.771428571,996.5
"Sun, 4 Aug 2013",27.16666667,62.5,3.25,993.25
"Sun, 11 Aug 2013",26.6,72,4.46,999.25
"Sun, 18 Aug 2013",27.375,71.25,1.233333333,999
"Sun, 25 Aug 2013",29,57,0.925,997.8571429
"Sun, 1 Sep 2013",30,45.5,6.783333333,1001.5
"Sun, 8 Sep 2013",28,57.5,2.325,1003.833333
"Sun, 15 Sep 2013",25.2,56.375,2.96,1001.375
"Sun, 22 Sep 2013",28.2,65.75,1.233333333,1001
"Sun, 29 Sep 2013",24.83333333,59,2.0875,1003.857143
"Sun, 6 Oct 2013",23.85714286,65.5,0,1005.25
"Sun, 13 Oct 2013",24.57142857,69.57142857,0,1007
"Sun, 20 Oct 2013",22.8,53.6,0,1009.875
"Sun, 27 Oct 2013",21.625,58.83333333,1.057142857,1010
"Sun, 3 Nov 2013",18,54.16666667,0,1015.625
"Sun, 10 Nov 2013",16.57142857,61.85714286,0,1013.428571
"Sun, 17 Nov 2013",15.57142857,55.125,0.8,1012.75
"Sun, 24 Nov 2013",17.75,49.875,1.85,1011.75
"Sun, 1 Dec 2013",16,65,1.1625,1014
"Sun, 8 Dec 2013",15.5,62.375,0,1012
"Sun, 15 Dec 2013",14.75,86.25,0.4625,1012.625
"Sun, 22 Dec 2013",10.875,63.16666667,1.1625,1018.375
"Sun, 29 Dec 2013",10.57142857,69.42857143,1.1625,1016.25
"Sun, 5 Jan 2014",11.42857143,72.28571429,0,1014.5
"Sun, 12 Jan 2014",12,72.375,0.4625,1017
"Sun, 19 Jan 2014",11.75,83.5,3.475,1019.25
"Sun, 26 Jan 2014",14,69.875,0.925,1016.75
"Sun, 2 Feb 2014",13.625,63.85714286,1.625,1009.25
"Sun, 9 Feb 2014",12.375,61.75,3.7,1011.875
"Sun, 16 Feb 2014",13.5,60.125,1.85,1014.25
"Sun, 23 Feb 2014",15.625,69,0.925,1013.125
"Sun, 2 Mar 2014",16.125,62.875,3.7,1016.125
"Sun, 9 Mar 2014",19,56.625,2.7875,1013.714286
"Sun, 16 Mar 2014",21.5,52.125,3.0125,1007
"Sun, 23 Mar 2014",22.375,55.625,2.775,1010.5
"Sun, 30 Mar 2014",24.125,43.375,7.175,1005.75
"Sun, 6 Apr 2014",25.75,29,5.1,1007.125
"Sun, 13 Apr 2014",24.25,40.375,2.55,1007
"Sun, 20 Apr 2014",27,29.375,4.6375,1005.875
"Sun, 27 Apr 2014",30.625,22.5,5.3375,1001.5
"Sun, 4 May 2014",29.57142857,34.375,1.85,1000.428571
"Sun, 11 May 2014",25.25,39.875,7.175,1003.5
"Sun, 18 May 2014",31.125,29.5,6.725,999.5
"Sun, 25 May 2014",30.125,39,2.55,999.375
"Sun, 1 Jun 2014",32.75,22.75,4.6375,994
"Sun, 8 Jun 2014",30.25,20.875,6.025,993.125
"Sun, 15 Jun 2014",33.875,36.125,8.1,991.375
"Sun, 22 Jun 2014",32.125,46.25,3.2375,995.5
"Sun, 29 Jun 2014",28.875,52.05882353,3.25,997.5
"Sun, 6 Jul 2014",30.625,37.125,3.7125,996
"Sun, 13 Jul 2014",27.25,62.625,2.55,994.875
"Sun, 20 Jul 2014",30.5,61.5,4.65,996
"Sun, 27 Jul 2014",30,59.5,0.925,997.125
"Sun, 3 Aug 2014",29.23529412,65,1.85,995.375
"Sun, 10 Aug 2014",28.5,54.875,3.0125,997.375
"Sun, 17 Aug 2014",31.375,43,5.5625,1001.25
"Sun, 24 Aug 2014",28.625,40.25,3.7,1001.125
"Sun, 31 Aug 2014",26.5,65.85714286,2.0875,1000.142857
"Sun, 7 Sep 2014",26.57142857,66.375,1.4,1002.375
"Sun, 14 Sep 2014",29.125,55.75,4.175,1002.125
"Sun, 21 Sep 2014",29.625,46.875,5.5625,1003.625
"Sun, 28 Sep 2014",30.25,48.75,0,1008
"Sun, 5 Oct 2014",25.71428571,49.875,0,1008.25
"Sun, 12 Oct 2014",23,47.66666667,0.4625,1008.375
"Sun, 19 Oct 2014",23.75,55.625,0.4625,1011.75
"Sun, 26 Oct 2014",22.5,50.875,1.625,1012
"Sun, 2 Nov 2014",22.75,49.125,1.625,1011.625
"Sun, 9 Nov 2014",18.375,43,2.3125,1014
"Sun, 16 Nov 2014",17.5,47.625,1.1625,1011.375
"Sun, 23 Nov 2014",16.5,51,0,1009.875
"Sun, 30 Nov 2014",17.75,42.625,2.55,1007
"Sun, 7 Dec 2014",15.28571429,48.375,0,1010.5
"Sun, 14 Dec 2014",11.25,72.125,0.4625,1014.5
"Sun, 21 Dec 2014",9.25,69,0.925,1017.125
"Sun, 28 Dec 2014",9,67.125,0.7,1014.625
"Sun, 4 Jan 2015",9.625,69.375,1.625,1015.5
"Sun, 11 Jan 2015",10.625,76.625,0.925,1017.125
"Sun, 18 Jan 2015",12.375,73.375,1.1625,1018.75
"Sun, 25 Jan 2015",11.5,56.125,0.925,1017.875
"Sun, 1 Feb 2015",14.625,62.625,1.85,1017
"Sun, 8 Feb 2015",15.5,59,1.85,1009.625
"Sun, 15 Feb 2015",18.875,63.5,1.3875,1011.75
"Sun, 22 Feb 2015",19.25,34.375,3.025,1008.5
"Sun, 1 Mar 2015",16.25,62.375,3.7,1011.125
"Sun, 8 Mar 2015",17.75,54.25,4.175,1014.75
"Sun, 15 Mar 2015",17.625,60.5,5.3375,1013.5
"Sun, 22 Mar 2015",24.75,51.375,1.3875,1009.625
"Sun, 29 Mar 2015",21,45.28571429,1.3875,1004.625
"Sun, 5 Apr 2015",23.57142857,44.875,2.775,1007.75
"Sun, 12 Apr 2015",24.375,44.5,3.0125,1002.375
"Sun, 19 Apr 2015",30.5,28.5,2.55,1003.125
"Sun, 26 Apr 2015",28.75,40.25,4.4,1004
"Sun, 3 May 2015",30.875,13.42857143,3.0125,1001.625
"Sun, 10 May 2015",27.75,25,4.1625,1001.375
"Sun, 17 May 2015",31.5,19.5,5.5625,996.125
"Sun, 24 May 2015",32.25,20.5,5.1,996.875
"Sun, 31 May 2015",28.625,25,4.8625,1001.375
"Sun, 7 Jun 2015",31.125,23.875,6.25,998.5
"Sun, 14 Jun 2015",27,45.125,2.7875,996.25
"Sun, 21 Jun 2015",26.625,48.25,4.4,994.75
"Sun, 28 Jun 2015",30.875,45.875,4.175,997.5
"Sun, 5 Jul 2015",25.5,47.28571429,1.85,995.4285714
"Sun, 12 Jul 2015",25.5,52.875,4.175,993.75
"Sun, 19 Jul 2015",29.125,64.125,0.7,997.625
"Sun, 26 Jul 2015",28.25,61,0.925,998
"Sun, 2 Aug 2015",28.875,58.625,1.625,998
"Sun, 9 Aug 2015",27.375,69.5,0,1000
"Sun, 16 Aug 2015",28.625,58.625,0.7,1000.875
"Sun, 23 Aug 2015",29.875,57.28571429,2.3125,1000.857143
"Sun, 30 Aug 2015",30.875,42.625,7.6375,1000.857143
"Sun, 6 Sep 2015",30.75,41.8,3.171428571,1005.5
"Sun, 13 Sep 2015",30.625,54.375,0.4625,1003.25
"Sun, 20 Sep 2015",28.25,49.375,5.557142857,1002.5
